request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_207,9190.41,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait and pay ZAR 11830 on 2026-07-15; full-payment capacity is first forecast on 2026-07-15.
request_208,4158094.43,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,Wait and pay IDR 4413000 on 2024-06-15; full-payment capacity is first forecast on 2024-06-15.
request_209,2388.42,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 18400 minimum protected through the 90-day forecast.
request_210,1274.52,affordable_with_plan,partial_payment,2026-04-06:1274.52|2026-04-15:85.50,2026-04-15,none,Pay USD 1274.52 today and the remaining balance later; full-payment capacity is first forecast on 2026-04-15.
request_211,1007.60,affordable_later,wait,2024-09-15:1788.60,2024-09-15,none,Wait and pay EUR 1788.60 on 2024-09-15; full-payment capacity is first forecast on 2024-09-15.
request_212,11627244.94,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 29579800 minimum protected through the 90-day forecast.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,Use the supplied 2-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_216,705.78,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,Wait and pay USD 3332.40 on 2026-09-15; full-payment capacity is first forecast on 2026-09-15.
request_217,24424.45,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-03-15.
request_218,29679884.69,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-08-15.
request_219,1365.45,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2026-04-15.
request_220,168.60,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 1100.00 minimum protected through the 90-day forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today; the plan keeps the retained minimum protected for 90 days.
request_222,26348.82,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 27300 minimum protected through the 90-day forecast.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today; the plan keeps the retained minimum protected for 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Use the supplied 2-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_225,14739409.60,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2026-09-15.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today; the plan keeps the retained minimum protected for 90 days.
request_227,13390.85,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 62900 minimum protected through the 90-day forecast.
request_228,7643700,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 26191200 minimum protected through the 90-day forecast.
request_229,609.09,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-05-15.
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today; the plan keeps the retained minimum protected for 90 days.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_232,585.74,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 2400.00 minimum protected through the 90-day forecast.
request_233,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 10365700 minimum protected through the 90-day forecast.
request_234,359.32,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,Wait and pay EUR 1213.30 on 2026-09-15; full-payment capacity is first forecast on 2026-09-15.
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today; the plan keeps the retained minimum protected for 90 days.
request_236,7394933.69,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 16768600 minimum protected through the 90-day forecast.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today; the plan keeps the retained minimum protected for 90 days.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_239,642.00,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Pay USD 642.00 today; the plan keeps the retained minimum protected for 90 days.
request_240,24850.70,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 52800 minimum protected through the 90-day forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_242,0.00,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 600.00 minimum protected through the 90-day forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today; the plan keeps the retained minimum protected for 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today; the plan keeps the retained minimum protected for 90 days.
request_245,42622.31,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 94600 minimum protected through the 90-day forecast.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today; the plan keeps the retained minimum protected for 90 days.
request_248,1059.93,affordable_with_plan,partial_payment,2025-02-07:1059.93|2025-03-15:905.67,2025-03-15,none,Pay USD 1059.93 today and the remaining balance later; full-payment capacity is first forecast on 2025-03-15.
request_249,169.30,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Wait and pay USD 643.20 on 2026-03-15; full-payment capacity is first forecast on 2026-03-15.
request_250,17404.90,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 35300 minimum protected through the 90-day forecast.
request_251,1513.60,affordable_later,not_recommended,none,2025-05-03,none,No eligible plan keeps the EUR 1300.00 minimum protected through the 90-day forecast.
request_252,6656910.53,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,Wait and pay IDR 28082000 on 2026-09-15; full-payment capacity is first forecast on 2026-09-15.
request_253,1717.57,affordable_later,not_recommended,none,2024-05-15,none,No eligible plan keeps the EUR 2300.00 minimum protected through the 90-day forecast.
request_254,839.15,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,Wait and pay USD 3535.20 on 2025-10-15; full-payment capacity is first forecast on 2025-10-15.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today; the plan keeps the retained minimum protected for 90 days.
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-07-15.
request_257,627.46,affordable_later,wait,2025-11-15:1352.40,2025-11-15,none,Wait and pay USD 1352.40 on 2025-11-15; full-payment capacity is first forecast on 2025-11-15.
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today; the plan keeps the retained minimum protected for 90 days.
request_259,482.90,affordable_later,wait,2024-11-15:935.00,2024-11-15,none,Wait and pay EUR 935.00 on 2024-11-15; full-payment capacity is first forecast on 2024-11-15.
request_260,12646400,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 20727700 minimum protected through the 90-day forecast.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today; the plan keeps the retained minimum protected for 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today; the plan keeps the retained minimum protected for 90 days.
request_263,10641.74,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_264,28725.28,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 59500 minimum protected through the 90-day forecast.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today; the plan keeps the retained minimum protected for 90 days.
request_266,935.00,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_267,1529.99,affordable_later,not_recommended,none,2026-03-15,none,No eligible plan keeps the EUR 1500.00 minimum protected through the 90-day forecast.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-08-15.
request_269,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 23100 minimum protected through the 90-day forecast.
request_270,226.30,affordable_later,not_recommended,none,2026-09-15,none,No eligible plan keeps the USD 1400.00 minimum protected through the 90-day forecast.
request_271,61021.54,affordable_later,wait,2024-11-15:91300,2024-11-15,none,Wait and pay INR 91300 on 2024-11-15; full-payment capacity is first forecast on 2024-11-15.
request_272,7507223.52,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-03-15.
request_273,9292375.74,affordable_with_plan,partial_payment,2026-04-07:9292375.74|2026-04-15:6568624.26,2026-04-15,none,Pay IDR 9292375.74 today and the remaining balance later; full-payment capacity is first forecast on 2026-04-15.
request_274,2703.04,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-12-15.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today; the plan keeps the retained minimum protected for 90 days.
